,name,iscd,market,category,trading_v
0,KODEX 200선물인버스2X,252670,0,volume,353493952536.0
1,대영포장,014160,0,volume,35353180315.0
2,KEC,092220,0,volume,237086264921.0
3,한솔홈데코,025750,0,volume,40068188099.0
4,신원,009270,0,volume,188291400805.0
5,KODEX 인버스,114800,0,volume,116864278189.0
6,KODEX 코스닥150선물인버스,251340,0,volume,126813620494.0
7,신풍제지,002870,0,volume,18033723507.0
8,우리종금,010050,0,volume,41706348772.8
9,주연테크,044380,0,volume,8079772772.0
10,이아이디,093230,0,volume,13055608502.2
11,서울식품,004410,0,volume,1991752092.8
12,태평양물산,007980,0,volume,21332066865.0
13,KODEX 레버리지,122630,0,volume,330856047700.0
14,한화투자증권,003530,0,volume,164257555618.0
15,두산중공업,034020,0,volume,274176087130.0
16,한신기계,011700,0,volume,46302217017.0
17,남해화학,025860,0,volume,80640894260.0
18,조일알미늄,018470,0,volume,19820987782.0
19,쌍방울,102280,0,volume,2442044532.2
20,삼성 인버스 2X WTI원유 선물 ETN,530036,0,volume,
21,KODEX 코스닥150 레버리지,233740,0,volume,112070048267.0
22,신성통상,005390,0,volume,14140374259.0
23,SK증권,001510,0,volume,6064521164.8
24,대유에이텍,002880,0,volume,83136724101.0
25,SH에너지화학,002360,0,volume,7745056991.0
26,더블유게임즈,192080,0,volume,130218467400.0
27,태림포장,011280,0,volume,5563960101.0
28,한전산업,130660,0,volume,134436584950.0
29,대우부품,009320,0,volume,54736894055.0
30,영풍제지,006740,0,volume,7659762428.0
31,대한전선,001440,0,volume,13189954698.0
32,화승코퍼레이션,013520,0,volume,9189391844.0
33,한창제지,009460,0,volume,2297225978.0
34,삼성 레버리지 WTI원유 선물 ETN,530031,0,volume,
35,TIGER 2차전지테마,305540,0,volume,101483729064.0
36,팬오션,028670,0,volume,33989923939.0
37,일신석재,007110,0,volume,12918831044.0
38,TIGER 200선물인버스2X,252710,0,volume,9424500517.0
39,TIGER 차이나전기차SOLACTIVE,371460,0,volume,138305797787.0
40,BGF,027410,0,volume,5290852820.0
41,KODEX 2차전지산업,305720,0,volume,88639005298.6
42,평화산업,090080,0,volume,3932147921.0
43,신성이엔지,011930,0,volume,16234175028.0
44,KODEX 단기채권PLUS,214980,0,volume,238851987665.0
45,TIGER Fn메타버스,400970,0,volume,23045687222.0
46,흥아해운,003280,0,volume,41502409636.0
47,보해양조,000890,0,volume,2239882067.6
48,한전기술,052690,0,volume,91373598320.0
49,위지트,036090,1,volume,58353781726.0
50,차백신연구소,261780,1,volume,635465283700.0
51,씨케이에이치,900120,1,volume,
52,이스트아시아홀딩스,900110,1,volume,
53,다날,064260,1,volume,217690785930.0
54,엔피,291230,1,volume,124468070098.0
55,이트론,096040,1,volume,27447699870.4
56,초록뱀컴퍼니,052300,1,volume,18192303696.0
57,파워넷,037030,1,volume,84107503376.0
58,티비씨,033830,1,volume,60919872385.0
59,덱스터,206560,1,volume,191518633160.0
60,이건홀딩스,039020,1,volume,24601202838.0
61,스튜디오산타클로스,204630,1,volume,223253097154.0
62,시스웍,269620,1,volume,36559022519.0
63,에너토크,019990,1,volume,70636692790.0
64,판타지오,032800,1,volume,2559160467.4
65,와이제이엠게임즈,193250,1,volume,22701205879.0
66,솔고바이오,043100,1,volume,12406145080.0
67,인트로메딕,150840,1,volume,103129958885.0
68,초록뱀미디어,047820,1,volume,29032551117.0
69,휴마시스,205470,1,volume,32685393230.0
70,비덴트,121800,1,volume,163895086340.0
71,라온시큐어,042510,1,volume,16312184694.0
72,갤럭시아머니트리,094480,1,volume,35265398678.0
73,팜스토리,027710,1,volume,142112816316.0
74,우리기술투자,041190,1,volume,261417238640.0
75,대아티아이,045390,1,volume,33378477096.0
76,한국비엔씨,256840,1,volume,236555129550.0
77,지엔씨에너지,119850,1,volume,8076086760.0
78,SBI인베스트먼트,019550,1,volume,41319382981.0
79,씨아이에스,222080,1,volume,173033401770.0
80,에코플라스틱,038110,1,volume,11296600309.0
81,맥스트,377030,1,volume,114516868180.0
82,쇼박스,086980,1,volume,179314061436.0
83,지에스이,053050,1,volume,35461545346.0
84,삼진엘앤디,054090,1,volume,122050145204.0
85,로스웰,900260,1,volume,
86,제주맥주,276730,1,volume,9905533743.0
87,엑세스바이오,950130,1,volume,
88,우리기술,032820,1,volume,14213664666.0
89,홈센타홀딩스,060560,1,volume,12738569792.0
90,에스엘바이오닉스,214310,1,volume,18523917188.8
91,메디콕스,054180,1,volume,1917055331.0
92,파라텍,033540,1,volume,5405200286.0
93,크루셜텍,114120,1,volume,5193734163.0
94,네오위즈,095660,1,volume,38159749380.0
95,한일사료,005860,1,volume,14400413581.0
96,룽투코리아,060240,1,volume,22678255366.0
97,피에이치씨,057880,1,volume,4120911509.0
